komentar,clean,normal
Kuasai dulu Asean lawan Thailand aja masih ngos ngosan malah bermimpi  mau di piala dunia jangan giliran lolos pildun jadi lumbung gol lawan pun jadi malas cetak gol 😂😂😂😂😂,kuasai dulu asean lawan thailand aja masih ngos ngosan malah bermimpi mau di piala dunia jangan giliran lolos pildun jadi lumbung gol lawan pun jadi malas cetak gol,kuasai dulu asean lawan thailand aja masih ngos ngosan malah bermimpi mau di piala dunia jangan giliran lolos pildun jadi lumbung gol lawan pun jadi malas cetak gol
Beckam klok gak usah masuk line up...kacauu gak bisa maen,beckam klok gak usah masuk line upkacauu gak bisa maen,beckam klok gak usah masuk line upkacauu gak bisa maen
Line up yg bagus please,line up yg bagus please,line up yang bagus please
"Jangan turunkan pemain liga 1 seperti beckam dan klok, untuk bek tengah serahkan ridho",jangan turunkan pemain liga seperti beckam dan klok untuk bek tengah serahkan ridho,jangan turunkan pemain liga seperti beckam dan klok untuk bek tengah serahkan ridho
ITU YG NGOMONG JOWO MAS NADEO SAMA RIDHO KAH?,itu yg ngomong jowo mas nadeo sama ridho kah,itu yang ngomong jowo mas nadeo sama ridho kah
Banyak pemain-pemain Naturalisasi malah mainin lokal <br>buat apa Naturalisasi kocak pelatih parly😅😅,banyak pemainpemain naturalisasi malah mainin lokal brbuat apa naturalisasi kocak pelatih parly,banyak pemainpemain naturalisasi malah mainin lokal brbuat apa naturalisasi kocak pelatih parly
Bismillah semoga menang... Tolong sayuri sama klok jangan dimainin,bismillah semoga menang tolong sayuri sama klok jangan dimainin,bismillah semoga menang tolong sayuri sama klok jangan dimainin
"Dah males kebanyakan drama, cape deh, cape ganti platih bukan makin bener makin ancooorrr",dah males kebanyakan drama cape deh cape ganti platih bukan makin bener makin ancooorrr,dah males kebanyakan drama cape deh cape ganti platih bukan makin bener makin ancooorrr
pssi kenapa kalian memonopoli media dan liputan dari jurnalis? timnas milik rakyat Indonesia bukan milik pssi. pssi hanya pemegang mandat untuk mengelola sepak bola Indonesia. shame on you,pssi kenapa kalian memonopoli media dan liputan dari jurnalis timnas milik rakyat indonesia bukan milik pssi pssi hanya pemegang mandat untuk mengelola sepak bola indonesia shame on you,pssi kenapa kalian memonopoli media dan liputan dari jurnalis timnas milik rakyat indonesia bukan milik pssi pssi hanya pemegang mandat untuk mengelola sepak bola indonesia shame on you
timnas mainnya jam berapa mohon infonya 🙏,timnas mainnya jam berapa mohon infonya,timnas mainnya jam berapa mohon infonya
"Kan bener Beckham ngukur lapangan,",kan bener beckham ngukur lapangan,kan bener beckham ngukur lapangan
"Jika timnas bisa menangpun, kasi penghargaan &amp; apresiasi kepada pemain &amp; para staf yang bertugas, bukan kepada PK, dia uda bbrp kali main2, yang paling jelas lawan Australia &amp; Arab.",jika timnas bisa menangpun kasi penghargaan amp apresiasi kepada pemain amp para staf yang bertugas bukan kepada pk dia uda bbrp kali main yang paling jelas lawan australia amp arab,jika timnas bisa menangpun kasi penghargaan amp apresiasi kepada pemain amp para staf yang bertugas bukan kepada pk dia uda bbrp kali main yang paling jelas lawan australia amp arab
Lagunya lagu temu manten banget,lagunya lagu temu manten banget,lagunya lagu temu manten banget
Alah wws mbuh kono aturen kono awuren trik patrik,alah wws mbuh kono aturen kono awuren trik patrik,alah wws mbuh kono aturen kono awuren trik patrik
Beckham good player tapi jangan jadi starter duku karna pengalaman international masih belum cukup. Klok juga karna stamina lebih baik Supersub aja faktor usia juga .2 pemain ini sbebnernya bagus tinggal pelatih raciknya kek gimana,beckham good player tapi jangan jadi starter duku karna pengalaman international masih belum cukup klok juga karna stamina lebih baik supersub aja faktor usia juga pemain ini sbebnernya bagus tinggal pelatih raciknya kek gimana,beckham good player tapi jangan jadi starter duku karna pengalaman international masih belum cukup klok juga karna stamina lebih baik supersub aja faktor usia juga pemain ini sbebnernya bagus tinggal pelatih raciknya kek gimana
Bodo amat sama timnas sampahh...,bodo amat sama timnas sampahh,bodo amat sama timnas sampahh
Galfok Hadroh hehe,galfok hadroh hehe,galfok hadroh hehe
Kalian semua hebat kalau sesuai dengan porsi kemampuan kalian. Tetap semangat Garuda,kalian semua hebat kalau sesuai dengan porsi kemampuan kalian tetap semangat garuda,kalian semua hebat kalau sesuai dengan porsi kemampuan kalian tetap semangat garuda
Pemain dgn market value tinggi jadi camat. PK ini sangat mencurigakan,pemain dgn market value tinggi jadi camat pk ini sangat mencurigakan,pemain dgn market value tinggi jadi camat pk ini sangat mencurigakan
Siap nonton semua...,siap nonton semua,siap nonton semua
Perjuangan terakhir... pantang menyerah 👏,perjuangan terakhir pantang menyerah,perjuangan terakhir pantang menyerah
"please 10 diaspora 1 pemain liga lokal untuk lawan iraq , jgan sperti laga melawan arab kemarin",please diaspora pemain liga lokal untuk lawan iraq jgan sperti laga melawan arab kemarin,please diaspora pemain liga lokal untuk lawan iraq jgan sperti laga melawan arab kemarin
Bismillah 3 poin ✊🤲,bismillah poin,bismillah poin
Ahh basiii ni mah vidio lwn arab<br>Line up menyebalkan,ahh basiii ni mah vidio lwn arabbrline up menyebalkan,ahh basiii ni mah vidio lwn arabbrline up menyebalkan
"02.22 bismilah brother, piala dunia katanya... Admin telat upload... Lu dibayar min. Euy min....😂😂😂",bismilah brother piala dunia katanya admin telat upload lu dibayar min euy min,bismilah brother piala dunia katanya admin telat upload lu dibayar min euy min
mantap back sound nya Mahalul Qiyam ayo timnas menang kalah.. pecat patrick sebelum kegelapan terjadi,mantap back sound nya mahalul qiyam ayo timnas menang kalah pecat patrick sebelum kegelapan terjadi,mantap back sound nya mahalul qiyam ayo timnas menang kalah pecat patrick sebelum kegelapan terjadi
Yg setuju pelatih jadi pemain😂?,yg setuju pelatih jadi pemain,yang setuju pelatih jadi pemain
Kambuaya playmaker cap ayam,kambuaya playmaker cap ayam,kambuaya playmaker cap ayam
"Semoga pikiran Patrick Sadar ga keblinger.,",semoga pikiran patrick sadar ga keblinger,semoga pikiran patrick sadar tidak keblinger
Jujur &amp; realistis saja apakah secara kualitas &amp; kerjasama timnas kita sdh layak &amp; sejajar dgn peserta pildun lain  jgn sampe kita dikcewakan sendiri oleh ekspektasi yg berlebih,jujur amp realistis saja apakah secara kualitas amp kerjasama timnas kita sdh layak amp sejajar dgn peserta pildun lain jgn sampe kita dikcewakan sendiri oleh ekspektasi yg berlebih,jujur amp realistis saja apakah secara kualitas amp kerjasama timnas kita sdh layak amp sejajar dgn peserta pildun lain jgn sampe kita dikcewakan sendiri oleh ekspektasi yang berlebih
"dg lantunan sholawat, moga menang.",dg lantunan sholawat moga menang,dg lantunan sholawat moga menang
"Lawan Irak bukan lagi main-main, Timnas Indonesia harus menang minimal 2 - 0, ini harapan dan doa saya sebagai warga Indonesia dan pemain berikut diharapkan dijadikan starter :<br>1. Marten Paes<br>2. Jay Idzes<br>3. Rizky Ridho<br>4. Justin Hubner <br>5. Kevin Diks<br>6. Tom Haye <br>7. Jay Pelupessy<br>8. Kelvin Verdonk<br>9. Miliano Jhonatan ( cetak 1 gol )<br>10. Ole Rumeny ( cetak 2 gol )<br>11. Ragnar Oratmangoen ( cetak 1 gol )<br><br>Dengan izin dan ridho ALLAH SWT timnas Indonesia dipermudah dan dilancarkan lolos ke piala dunia 2026. Aamiin Yaa Allah Yaa Rabbal Alamin 🤲🤲🤲🙏",lawan irak bukan lagi mainmain timnas indonesia harus menang minimal ini harapan dan doa saya sebagai warga indonesia dan pemain berikut diharapkan dijadikan starter br marten paesbr jay idzesbr rizky ridhobr justin hubner br kevin diksbr tom haye br jay pelupessybr kelvin verdonkbr miliano jhonatan cetak gol br ole rumeny cetak gol br ragnar oratmangoen cetak gol brbrdengan izin dan ridho allah swt timnas indonesia dipermudah dan dilancarkan lolos ke piala dunia aamiin yaa allah yaa rabbal alamin,lawan irak bukan lagi mainmain timnas indonesia harus menang minimal ini harapan dan doa saya sebagai warga indonesia dan pemain berikut diharapkan dijadikan starter br marten paesbr jay idzesbr rizky ridhobr justin hubner br kevin diksbr tom haye br jay pelupessybr kelvin verdonkbr miliano jhonatan cetak gol br ole rumeny cetak gol br ragnar oratmangoen cetak gol brbrdengan izin dan ridho allah swt timnas indonesia dipermudah dan dilancarkan lolos ke piala dunia aamiin yaa allah yaa rabbal alamin
Berkah sholawat TIMNAS LOLOS PILDUN❤,berkah sholawat timnas lolos pildun,berkah sholawat timnas lolos pildun
Patrik out . Pltih miskin taktik.<br>Klo mau line up ngotak dikit ngpa anjenk,patrik out pltih miskin taktikbrklo mau line up ngotak dikit ngpa anjenk,patrik out pltih miskin taktikbrklo mau line up ngotak dikit ngpa anjenk
Patrick Kluivert out!!!!!,patrick kluivert out,patrick kluivert out
Merinding pas di sholawat in.. tapi Minimal harus win 3-0 😢  mustahil banget ya.. insyaallah kita bisa,merinding pas di sholawat in tapi minimal harus win mustahil banget ya insyaallah kita bisa,merinding pas di sholawat in tapi minimal harus win mustahil banget ya insyaallah kita bisa
coach patrick please gak usah aneh aneh😢,coach patrick please gak usah aneh aneh,coach patrick please gak usah aneh aneh
Please haland &amp; yamal jangan di cadangin,please haland amp yamal jangan di cadangin,please haland amp yamal jangan di cadangin
🇮🇶🇮🇶,,
"Tolong sembunyikan dulu jersey si kembar, klok, n Beckham. Kasih Minggu depan aja😅😂",tolong sembunyikan dulu jersey si kembar klok n beckham kasih minggu depan aja,tolong sembunyikan dulu jersey si kembar klok n beckham kasih minggu depan aja
Bismillah kami semuaa rakyat Indonesia menunggu hasil melawan Irak dengan hasil yg kemenangan yg meyakinkan.. <br>Bismillah Indonesia wc 2026,bismillah kami semuaa rakyat indonesia menunggu hasil melawan irak dengan hasil yg kemenangan yg meyakinkan brbismillah indonesia wc,bismillah kami semuaa rakyat indonesia menunggu hasil melawan irak dengan hasil yang kemenangan yang meyakinkan brbismillah indonesia wc
Katanya Ridho gak dipasang sama PK.,katanya ridho gak dipasang sama pk,katanya ridho gak dipasang sama pk
Ini vidio baru mau lwn irak apa mau lwn arab?,ini vidio baru mau lwn irak apa mau lwn arab,ini vidio baru mau lwn irak apa mau lwn arab
"Pelatih bloon maenin pemain liga 1 di kualifikasi piala dunia , malah pemain abroad di cadangin",pelatih bloon maenin pemain liga di kualifikasi piala dunia malah pemain abroad di cadangin,pelatih bloon maenin pemain liga di kualifikasi piala dunia malah pemain abroad di cadangin
Banyak prediksi yg mengatakan Timnas akan kalah malam ini..jadi saya putuskan tidak akan menonton laga kali ini.  PATRICK KLUIVERT OUT..,banyak prediksi yg mengatakan timnas akan kalah malam inijadi saya putuskan tidak akan menonton laga kali ini patrick kluivert out,banyak prediksi yang mengatakan timnas akan kalah malam inijadi saya putuskan tidak akan menonton laga kali ini patrick kluivert out
Menang lah 1 -0. Thailand aja bs ngimbangin😂,menang lah thailand aja bs ngimbangin,menang lah thailand aja bs ngimbangin
Back soundnya kerennn maulidan sholawatan ❤,back soundnya kerennn maulidan sholawatan,back soundnya kerennn maulidan sholawatan
"Doanya menang utk Timnas Indonesia, walaupun berat.<br><br>Krn, saat lawan Arab Saudi, PK Tidka memanfaatkan momentum.<br><br>Maka, starting eleven dan line up akan menentukan nasib dan masa depan sepak bola Indonesia.<br><br>Semoga, PK tidak mengulangi kebodohannya... 🙏😇🦅🔥💙💚🇮🇩",doanya menang utk timnas indonesia walaupun beratbrbrkrn saat lawan arab saudi pk tidka memanfaatkan momentumbrbrmaka starting eleven dan line up akan menentukan nasib dan masa depan sepak bola indonesiabrbrsemoga pk tidak mengulangi kebodohannya,doanya menang utk timnas indonesia walaupun beratbrbrkrn saat lawan arab saudi pk tidka memanfaatkan momentumbrbrmaka starting eleven dan line up akan menentukan nasib dan masa depan sepak bola indonesiabrbrsemoga pk tidak mengulangi kebodohannya
Rizki ridho sama jay idzes cadangkan aja. Tar kalah lagi,rizki ridho sama jay idzes cadangkan aja tar kalah lagi,rizki ridho sama jay idzes cadangkan aja tar kalah lagi
Erick Thohir out,erick thohir out,erick thohir out
3-4-3 kembali sistem lama cari aman,kembali sistem lama cari aman,kembali sistem lama cari aman
Bumi Gonjang ganjing... Line Up Thai anyink,bumi gonjang ganjing line up thai anyink,bumi gonjang ganjing line up thai anyink
By by world cup 😢😢😢😢,by by world cup,by by world cup
Semoga sukses menuju piala AFF,semoga sukses menuju piala aff,semoga sukses menuju piala aff
Semoga.....,semoga,semoga
Bismillah jadi kan sejarah karna Indonesia belum pernah menang lawan irak,bismillah jadi kan sejarah karna indonesia belum pernah menang lawan irak,bismillah jadi kan sejarah karna indonesia belum pernah menang lawan irak
All In Timnas Ku.. Berjuanglah sampai Titik darah terakhir.. kami selalu mendoakan yg terbaik..,all in timnas ku berjuanglah sampai titik darah terakhir kami selalu mendoakan yg terbaik,all in timnas ku berjuanglah sampai titik darah terakhir kami selalu mendoakan yang terbaik
Perspektif dri samping jdi ngerasain intensitas pertandingannya kayak dri pov pemainnya.. yg paling ngenes itu pas terakhir mang ole tiduran dan nutupin muka nya pake kaos.. kecewa berat diaaa 😢 aapalgi dia berjuang untuk pulih,perspektif dri samping jdi ngerasain intensitas pertandingannya kayak dri pov pemainnya yg paling ngenes itu pas terakhir mang ole tiduran dan nutupin muka nya pake kaos kecewa berat diaaa aapalgi dia berjuang untuk pulih,perspektif dri samping jdi ngerasain intensitas pertandingannya kayak dri pov pemainnya yang paling ngenes itu pas terakhir mang ole tiduran dan nutupin muka nya pake kaos kecewa berat diaaa aapalgi dia berjuang untuk pulih
Masih gak percaya Indonesia kalah lawan Arab 2-3,masih gak percaya indonesia kalah lawan arab,masih gak percaya indonesia kalah lawan arab
Liat perjuangan mereka jantung sy bertedak sangat kencang.<br>Semoga perjuangan mereka tidak sia2.<br>Pahlawan sepakbola.<br>Ciptakan sejarah kawan.,liat perjuangan mereka jantung sy bertedak sangat kencangbrsemoga perjuangan mereka tidak siabrpahlawan sepakbolabrciptakan sejarah kawan,liat perjuangan mereka jantung sy bertedak sangat kencangbrsemoga perjuangan mereka tidak siabrpahlawan sepakbolabrciptakan sejarah kawan
Siap semoga hasil terbaik sayang udah satu RT dibawa dari Belanda segala macam official dan lain masa ga lolos pildun 😊,siap semoga hasil terbaik sayang udah satu rt dibawa dari belanda segala macam official dan lain masa ga lolos pildun,siap semoga hasil terbaik sayang udah satu rt dibawa dari belanda segala macam official dan lain masa tidak lolos pildun
Taiklah,taiklah,taiklah
Salfon di stel mahalul qiyam,salfon di stel mahalul qiyam,salfon di stel mahalul qiyam
Patrick.. Patrick... Gedeg gua lihat lo.. 😡,patrick patrick gedeg gua lihat lo,patrick patrick gedeg gua lihat lo
"Teman2 kalo si BECKAM &amp; KLOCK main..mending kita tidur aja ,percuma pasti kalah..pelatihnya BEGO minim taktik",teman kalo si beckam amp klock mainmending kita tidur aja percuma pasti kalahpelatihnya bego minim taktik,teman kalo si beckam amp klock mainmending kita tidur aja percuma pasti kalahpelatihnya bego minim taktik
Yg dimainkan nanti pemain diaspora saja kecuali Rizki ridho dan Riki Kambuaya yg dimainkan di liga 1 ini penentuan pildum,yg dimainkan nanti pemain diaspora saja kecuali rizki ridho dan riki kambuaya yg dimainkan di liga ini penentuan pildum,yang dimainkan nanti pemain diaspora saja kecuali rizki ridho dan riki kambuaya yang dimainkan di liga ini penentuan pildum
Yg tua tua istirahat dulu please..,yg tua tua istirahat dulu please,yang tua tua istirahat dulu please
Yuk bisa yuk!❤,yuk bisa yuk,yuk bisa yuk
"Yakob sama klok dan bekam,  jangan di mainin lgi!!!!!?",yakob sama klok dan bekam jangan di mainin lgi,yakob sama klok dan bekam jangan di mainin lgi
Erik blunder,erik blunder,erik blunder
Kalah ya pecat,kalah ya pecat,kalah ya pecat
Subuh ini ngeri2 sedap takut palitahnya tidur lagi.<br>Di TF brapa sih Coach Bintang Laut sama Sudi? Susah emang jiwa penjudi,subuh ini ngeri sedap takut palitahnya tidur lagibrdi tf brapa sih coach bintang laut sama sudi susah emang jiwa penjudi,subuh ini ngeri sedap takut palitahnya tidur lagibrdi tf brapa sih coach bintang laut sama sudi susah emang jiwa penjudi
"saran aja, bek nya pake trio JIR lagii, bakall mantapp, line up nya jangan aneh aneh ya coach pliss",saran aja bek nya pake trio jir lagii bakall mantapp line up nya jangan aneh aneh ya coach pliss,saran aja bek nya pake trio jir lagii bakall mantapp line up nya jangan aneh aneh ya coach pliss
Line up boleh via votting SMS ga sih,line up boleh via votting sms ga sih,line up boleh via votting sms tidak sih
Masya Allah.. backsoundnya sholawatan.. Mahallul Qiyam + Ya Habibana Ali.. Mugi &quot; lancaar jalan Timnas tembus Piala Dunia 2026.. aamiin..,masya allah backsoundnya sholawatan mahallul qiyam ya habibana ali mugi quot lancaar jalan timnas tembus piala dunia aamiin,masya allah backsoundnya sholawatan mahallul qiyam ya habibana ali mugi quot lancaar jalan timnas tembus piala dunia aamiin
❤‍🔥🔥❤‍🔥🔥💪🏻🇮🇩,,
"Terimakasih all crew tim support Timnas Indonesia. Mereka datang paling awal mempersiapkan segala kebutuhan Timnas, dan pulang paling akhir setelah laga usai ❤",terimakasih all crew tim support timnas indonesia mereka datang paling awal mempersiapkan segala kebutuhan timnas dan pulang paling akhir setelah laga usai,terimakasih all crew tim support timnas indonesia mereka datang paling awal mempersiapkan segala kebutuhan timnas dan pulang paling akhir setelah laga usai
Official nya BANJARI an 😊😊🤚🤚🤚🤚🤚🤚🤚🤚🤚🤚🙏🙏,official nya banjari an,official nya banjari an
Si Patrik cair parlay . Line up gak masuk akal . Masa pemain jelek main 90 menit kacau kacau di mana otak Lo patrik,si patrik cair parlay line up gak masuk akal masa pemain jelek main menit kacau kacau di mana otak lo patrik,si patrik cair parlay line up gak masuk akal masa pemain jelek main menit kacau kacau di mana otak lo patrik
Kluivert out kloop in,kluivert out kloop in,kluivert out kloop in
"Melawan Iraq bisa hasil imbang aja sdh bagus, krn kualitas pelatih Iraq lbh bagus",melawan iraq bisa hasil imbang aja sdh bagus krn kualitas pelatih iraq lbh bagus,melawan iraq bisa hasil imbang aja sdh bagus krn kualitas pelatih iraq lbh bagus
"Bekham,klok,yacob tolong dititipin ke jamaah haji,,biar bisa dibawa pulang lebih cepat",bekhamklokyacob tolong dititipin ke jamaah hajibiar bisa dibawa pulang lebih cepat,bekhamklokyacob tolong dititipin ke jamaah hajibiar bisa dibawa pulang lebih cepat
MasyaAllah marhabaan..,masyaallah marhabaan,masyaallah marhabaan
"Pakelah 3 back...hubner, jay, ridho...tengah verdonk, haye, pelupessy, diks, depan dean, mauro/ole, jonathan. Lainnya cadangan...",pakelah backhubner jay ridhotengah verdonk haye pelupessy diks depan dean mauroole jonathan lainnya cadangan,pakelah backhubner jay ridhotengah verdonk haye pelupessy diks depan dean mauroole jonathan lainnya cadangan
Klok jng sok jadi kapten lw benalu timnas anjrittttt,klok jng sok jadi kapten lw benalu timnas anjrittttt,klok jng sok jadi kapten lw benalu timnas anjrittttt
Indo 2 Irak 1 bismillah,indo irak bismillah,indo irak bismillah
"jika ini benar benar kalah lawan iraqq, wajib fardu ain pecat semua jajaran PSSI, ibarat kate udh di depan mata selangkah ke pildun eh lah dalah malah ganti pelatih, gendengggg",jika ini benar benar kalah lawan iraqq wajib fardu ain pecat semua jajaran pssi ibarat kate udh di depan mata selangkah ke pildun eh lah dalah malah ganti pelatih gendengggg,jika ini benar benar kalah lawan iraqq wajib fardu ain pecat semua jajaran pssi ibarat kate udh di depan mata selangkah ke pildun eh lah dalah malah ganti pelatih gendengggg
tolong lh jangan pake pemain liga 1 abadi kecuaali rizki ridho,tolong lh jangan pake pemain liga abadi kecuaali rizki ridho,tolong lh jangan pake pemain liga abadi kecuaali rizki ridho
"Kiper Martin pas,belakang jay,Rido, Jastin:kiri, verdonk: Kanan Kevin dik, tengah Joy dan tom, Winger kanan miliano Jonatan, Winger kiri Ragnar, ujung tombak ole❤ 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩💪💪",kiper martin pasbelakang jayrido jastinkiri verdonk kanan kevin dik tengah joy dan tom winger kanan miliano jonatan winger kiri ragnar ujung tombak ole,kiper martin pasbelakang jayrido jastinkiri verdonk kanan kevin dik tengah joy dan tom winger kanan miliano jonatan winger kiri ragnar ujung tombak ole
malam ini  pake formasi apa lagi ya🤔,malam ini pake formasi apa lagi ya,malam ini pake formasi apa lagi ya
Kalau lawan irak sampai kalah..patrik pulangkan ke orang tuanya,kalau lawan irak sampai kalahpatrik pulangkan ke orang tuanya,kalau lawan irak sampai kalahpatrik pulangkan ke orang tuanya
PAES<br><br>RIDHO - JAY - HUBNER<br><br>DIKS - HAYE -JOEY - VERDONK<br><br>JONATHAN - OLE - RAGNAR,paesbrbrridho jay hubnerbrbrdiks haye joey verdonkbrbrjonathan ole ragnar,paesbrbrridho jay hubnerbrbrdiks haye joey verdonkbrbrjonathan ole ragnar
Paes<br>Kevin jay hubner <br>Wals joey haye verdonk<br>Jonatans ole oratmangon,paesbrkevin jay hubner brwals joey haye verdonkbrjonatans ole oratmangon,paesbrkevin jay hubner brwals joey haye verdonkbrjonatans ole oratmangon
Marhaban pildun,marhaban pildun,marhaban pildun
"Saya agak kurang yakin indonesia bisa lolos,",saya agak kurang yakin indonesia bisa lolos,saya agak kurang yakin indonesia bisa lolos
"Prediksi lini serang indonesia :<br>Beckham putra,mark klok,R.sananta,yakob sayuri😂😂",prediksi lini serang indonesia brbeckham putramark klokrsanantayakob sayuri,prediksi lini serang indonesia brbeckham putramark klokrsanantayakob sayuri
Maaf kalau boleh tau Main nya jam brp ya kak...?<br>Terimakasih🙏,maaf kalau boleh tau main nya jam brp ya kakbrterimakasih,maaf kalau boleh tau main nya jam brp ya kakbrterimakasih
Semoga line up ny tidak seperti lawan arab.. pelatih jgn kecewakan kami yg sangat berharap permainan yg indah,semoga line up ny tidak seperti lawan arab pelatih jgn kecewakan kami yg sangat berharap permainan yg indah,semoga line up ny tidak seperti lawan arab pelatih jgn kecewakan kami yang sangat berharap permainan yang indah
"Ternyata banyak crew yg terlibat di luar semua pemain Timnas. Terimakasih semuanya, semoga Malan ini Match melawan Irak Allah SWT berikan kemenangan Amiin. Apapun hasil akhirnya, Kami tetap Bangga atas perjuangan seluruh Timnas sudah membawa Indonesia sejauh ini. Let,s go GARUDA❤❤❤❤",ternyata banyak crew yg terlibat di luar semua pemain timnas terimakasih semuanya semoga malan ini match melawan irak allah swt berikan kemenangan amiin apapun hasil akhirnya kami tetap bangga atas perjuangan seluruh timnas sudah membawa indonesia sejauh ini lets go garuda,ternyata banyak crew yang terlibat di luar semua pemain timnas terimakasih semuanya semoga malan ini match melawan irak allah swt berikan kemenangan amiin apapun hasil akhirnya kami tetap bangga atas perjuangan seluruh timnas sudah membawa indonesia sejauh ini lets go garuda
Kenapa timnas harus kalah sama ego pemain??? Kalo manggil yacob harus manggil yance juga??? Padahal ga guna yance itu!!!,kenapa timnas harus kalah sama ego pemain kalo manggil yacob harus manggil yance juga padahal ga guna yance itu,kenapa timnas harus kalah sama ego pemain kalo manggil yacob harus manggil yance juga padahal tidak guna yance itu
"Semangat, pulih, kompak, maju terus!",semangat pulih kompak maju terus,semangat pulih kompak maju terus
"yance, beckam, mark klok dan ricky out dulu dicadangkan aja, unk malam ini, jika ingin piala dunia, mereka main blunder sngt2 buruk",yance beckam mark klok dan ricky out dulu dicadangkan aja unk malam ini jika ingin piala dunia mereka main blunder sngt buruk,yance beckam mark klok dan ricky out dulu dicadangkan aja unk malam ini jika ingin piala dunia mereka main blunder sngt buruk
Klok beckham suruh pulang jualan cilok batagor!!!!,klok beckham suruh pulang jualan cilok batagor,klok beckham suruh pulang jualan cilok batagor
"Please Yacob, Yance, Beckam, Mark klok jangan dimainin, ini laga krusial wajib menang 3-0 kalau mau lolos piala Dunia 2026 !!!",please yacob yance beckam mark klok jangan dimainin ini laga krusial wajib menang kalau mau lolos piala dunia,please yacob yance beckam mark klok jangan dimainin ini laga krusial wajib menang kalau mau lolos piala dunia
"Buat PK lu jangan banyak coba coba buat pormasi,dan jangan alergi pake pormasi 343❤🇮🇩🇮🇩🇮🇩💪💪",buat pk lu jangan banyak coba coba buat pormasidan jangan alergi pake pormasi,buat pk lu jangan banyak coba coba buat pormasidan jangan alergi pake pormasi
Wasitnya sudah sangat adil tapi ya tetap kalah artinya pemain liga 1 BELUM LEVEL DUNIA,wasitnya sudah sangat adil tapi ya tetap kalah artinya pemain liga belum level dunia,wasitnya sudah sangat adil tapi ya tetap kalah artinya pemain liga belum level dunia
Ayo Bangkit Timnas Garuda Indonesia 🤲 🦅 🇮🇩,ayo bangkit timnas garuda indonesia,ayo bangkit timnas garuda indonesia
Kalah menang ora urus pokoke dukung timnas terus !!!!,kalah menang ora urus pokoke dukung timnas terus,kalah menang ora urus pokoke dukung timnas terus
"Menang aja 1-0 please.<br>Berharap, Iran akan abis-abisan lawan Saudi minimal dgn 2-0.",menang aja pleasebrberharap iran akan abisabisan lawan saudi minimal dgn,menang aja pleasebrberharap iran akan abisabisan lawan saudi minimal dgn
Iraq 2-1 Indonesia,iraq indonesia,iraq indonesia
Jangan mainin yakob sama m clock,jangan mainin yakob sama m clock,jangan mainin yakob sama m clock
Mantap 🎉,mantap,mantap
Indonesia vs irak<br>Di kerjain wasit ❎️<br>Di kerjain petrick ✅️,indonesia vs irakbrdi kerjain wasit brdi kerjain petrick,indonesia vs irakbrdi kerjain wasit brdi kerjain petrick
Laga penentuan semoga yang main full tim jangan ekperimen lagi pelatih pekok bengek.<br>Coret Klok beck percuma kalo buat epep bungkus lah sana lawan Brunei 😅,laga penentuan semoga yang main full tim jangan ekperimen lagi pelatih pekok bengekbrcoret klok beck percuma kalo buat epep bungkus lah sana lawan brunei,laga penentuan semoga yang main full tim jangan ekperimen lagi pelatih pekok bengekbrcoret klok beck percuma kalo buat epep bungkus lah sana lawan brunei
Kalah Menang lawan Irak Kulivert OUT,kalah menang lawan irak kulivert out,kalah menang lawan irak kulivert out
MIN BILANGIN KE PATRICK JANGAN PAKE LINE UP DAN FORMASI COBA2 LAGI..INI HARI PENGHAKIMAN JANGAN SAMPAI GAGAL KRN KESALAHAN SENDIRI..,min bilangin ke patrick jangan pake line up dan formasi coba lagiini hari penghakiman jangan sampai gagal krn kesalahan sendiri,min bilangin ke patrick jangan pake line up dan formasi coba lagiini hari penghakiman jangan sampai gagal krn kesalahan sendiri
Prediksi saya.<br>Mungkin formasi 3-4-1-2 atau 3-4-3 dengan Verdonk dan Joey di Pivot.<br>Free role Thom/ miliano atau miliano winger kanan.<br>Ragnar dan Ole di dpn<br>Indo diujung tanduk.<br>Seri / kalah maka memakan korban yg pasti pk out.<br>Now or never.,prediksi sayabrmungkin formasi atau dengan verdonk dan joey di pivotbrfree role thom miliano atau miliano winger kananbrragnar dan ole di dpnbrindo diujung tandukbrseri kalah maka memakan korban yg pasti pk outbrnow or never,prediksi sayabrmungkin formasi atau dengan verdonk dan joey di pivotbrfree role thom miliano atau miliano winger kananbrragnar dan ole di dpnbrindo diujung tandukbrseri kalah maka memakan korban yang pasti pk outbrnow or never
Jujur pengen bgt lihat interaksi antara miliano dan ole 🤭,jujur pengen bgt lihat interaksi antara miliano dan ole,jujur pengen banget lihat interaksi antara miliano dan ole
"Jika timnas bermain sperti singa 🦁, yakin lah Irak 🇮🇶 akn bermain seperti 🐉Naga,",jika timnas bermain sperti singa yakin lah irak akn bermain seperti naga,jika timnas bermain sperti singa yakin lah irak akn bermain seperti naga
Adakah strategi eksperimen lagi yg akan dipakai??,adakah strategi eksperimen lagi yg akan dipakai,adakah strategi eksperimen lagi yang akan dipakai
Pelatih apaan... Bodoh,pelatih apaan bodoh,pelatih apaan bodoh
